School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
PACIFIC LEARNING ACADEMY,PRIVATE SCHOOL,2016-17,N,ISSAQUAH SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"22525 SE 64TH PL
ISSAQUAH
(47.5438469, -122.03891)"
EMERSON K-12 (FAMILY LEARNING CENTER),PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,K -12,7,71.4,0,14.3,14.3,0,14.3,0,0,71.4,71.4,85.7,85.7,85.7,85.7,"10903 NE 53RD STREET
KIRKLAND
(47.6551131, -122.1950142)"
LAKOTA MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,257,66.5,0,28.4,5.1,0.4,3.9,0,0,66.5,66.5,96.5,94.9,95.7,94.6,"1415 SW 314TH ST
FEDERAL WAY
(47.320022, -122.354372)"
HILLSIDE ACADEMY,PRIVATE SCHOOL,2016-17,Y,RIVERVIEW SCHOOL DISTRICT,P-6,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"15520 MAIN ST NE
DUVALL
(47.7402605, -121.9859762)"
ST. ALPHONSUS SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,32,96.9,0,0,3.1,0,3.1,0,0,100,100,100,100,100,96.9,"5816 15TH AVE NW
SEATTLE
(47.6713791, -122.3753993)"
SHORELINE CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,P-12,17,82.4,0,0,17.6,0,17.6,0,0,82.4,82.4,88.2,88.2,88.2,88.2,"2400 NE 147TH ST
SEATTLE
(47.73575, -122.303106)"
ACADEMY FOR PRECISION LEARNING,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-9,8,75,0,0,25,25,0,0,0,87.5,87.5,87.5,87.5,87.5,75,"5031 UNIVERSITY WAY NE
SEATTLE
(47.665772, -122.313587)"
GLENDALE LUTHERAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,P-8,7,71.4,0,0,28.6,0,28.6,0,0,71.4,71.4,71.4,71.4,71.4,71.4,"13455 2ND AVE SW
BURIEN
(47.4818525, -122.3370733)"
NELSEN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,6-8,347,85.3,0,8.1,6.6,1.2,5.8,0,0,87.9,88.8,96.3,96.3,96.5,95.7,"2403 JONES AVE S
RENTON
(47.4571097, -122.197923)"
INGLEWOOD MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,413,92.5,0,0.7,6.8,1.9,4.6,0.5,0,96.1,96.1,98.1,97.3,96.4,96.6,"24120 NE 8TH ST
SAMMAMISH
(47.6185463, -122.0175343)"
SAGHALIE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,150,31.3,0,67.3,1.3,0,1.3,0,0,31.3,31.3,90.7,100,91.3,91.3,"33914 19TH AV SW
FEDERAL WAY
(47.2976506, -122.3549507)"
SYNERGY LEARNING ACADEMY,PRIVATE SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,PK-8,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1555 NW SAMMAMISH RD
ISSAQUAH
(47.55165, -122.060703)"
WOODINVILLE MONTESSORI SCHOOL,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-9,19,94.7,0,0,5.3,0,5.3,0,0,100,100,94.7,94.7,94.7,94.7,"19102 N CREEK PARKWAY
BOTHELL
(47.7665934, -122.1833914)"
ARROWHEAD ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,56,94.6,0,3.6,1.8,0,1.8,0,0,94.6,94.6,100,100,100,100,"6725 NE ARROWHEAD DR
KENMORE
(47.737737, -122.251662)"
JANE ADDAMS K-8,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K -8,87,79.3,0,10.3,10.3,6.9,8,0,0,87.4,87.4,93.1,92,89.7,87.4,"11051 34 AVE NE
SEATTLE
(47.710453, -122.2932309)"
SPRING VALLEY MONTESSORI,PRIVATE SCHOOL,2016-17,N,FEDERAL WAY SCHOOL DISTRICT,P-8,0,,,,,,,,,,,,,,,"36605 PACIFIC HWY S
FEDERAL WAY
(47.27377, -122.3289586)"
ST. PHILOMENA SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K-8,29,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1815 S 220TH ST
DES MOINES
(47.4042599, -122.3102628)"
RAINIER CHRISTIAN SCHOOLS-KENT VIEW ELEMENTARY,PRIVATE SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,P-6,18,83.3,0,11.1,5.6,0,5.6,0,0,83.3,83.3,83.3,83.3,83.3,83.3,"20 49TH ST NE
AUBURN
(47.3504483, -122.2297984)"
BELLEVUE CHILDREN'S ACADEMY 2ND LOCATION,PRIVATE SCHOOL,2016-17,N,BELLEVUE SCHOOL DISTRICT,2-8,0,,,,,,,,,,,,,,,"14600 NE 24TH ST
BELLEVUE
(47.6321037, -122.1455571)"
DIMMITT MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,6-8,345,87.5,1.7,7.5,3.2,0.3,1.4,1.4,0.3,89.9,91.3,97.1,96.5,96.5,96.8,"12320 80TH AVE S
SEATTLE
(47.4920705, -122.2317131)"
MADISON MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,331,74.3,0.3,20.5,4.8,3,3.9,0,0,79.5,79.5,97.3,96.4,94,93.1,"3429 45 AVE SW
SEATTLE
(47.5725308, -122.3907689)"
MCMURRAY MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,VASHON ISLAND SCHOOL DISTRICT,6-8,140,62.9,0.7,17.9,18.6,0.7,17.9,0.7,0,73.6,75.7,90,85,80.7,84.3,"9329 SW CEMETERY RD
VASHON
(47.4283376, -122.4547029)"
NORTHSTAR MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,29,69,0,27.6,3.4,0,3.4,0,0,69,69,96.6,96.6,96.6,96.6,"11822 NE 75TH ST
KIRKLAND
(47.673611, -122.180553)"
OVERCOMER ACADEMY,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,P-6,6,33.3,0,16.7,50,0,50,0,0,50,50,50,33.3,33.3,33.3,"33415 MILITARY RD S
AUBURN
(47.3011166, -122.2763197)"
CHRIST THE KING SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,25,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"415 N 117TH ST
SEATTLE
(47.7144015, -122.3532133)"
BROOKSIDE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,54,87,0,0,13,1.9,13,0,0,92.6,98.1,92.6,90.7,90.7,100,"17447 37TH AVENUE N.E.
LAKE FOREST PARK
(47.7547936, -122.2902157)"
THUNDER MOUNTAIN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ENUMCLAW SCHOOL DISTRICT,6-8,135,83.7,0,7.4,8.9,1.5,8.1,0,0,86.7,87.4,94.1,95.6,94.8,93.3,"42018 264TH AVENUE SE
ENUMCLAW
(47.2230259, -121.9874956)"
WEST SEATTLE MONTESSORI SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,4,25,0,0,75,0,75,0,0,25,25,25,25,25,25,"11215 16TH AVE SW
SEATTLE
(47.5025105, -122.3551684)"
CEDARHURST ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,88,94.3,1.1,4.5,0,0,0,0,0,95.5,95.5,100,100,98.9,100,"611 S 132ND ST
BURIEN
(47.483981, -122.324953)"
BUENA VISTA SDA SCHOOL,PRIVATE SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,K-8,28,85.7,0,10.7,3.6,0,3.6,0,0,89.3,89.3,96.4,96.4,96.4,92.9,"3320 ACADEMY DR SE
AUBURN
(47.282428, -122.159082)"
ST. FRANCIS OF ASSISI SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K-8,56,17.9,0,78.6,3.6,0,3.6,0,0,17.9,17.9,100,100,100,100,"15216 21ST AVE SW
BURIEN
(47.4665684, -122.3605782)"
DARTMOOR SCHOOL--SEATTLE,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,1-12,0,,,,,,,,,,,,,,,"9618 ROOSEVELT WAY NE
SEATTLE
(47.6988807, -122.3175857)"
BK ACADEMY,PRIVATE SCHOOL,2016-17,N,BELLEVUE SCHOOL DISTRICT,PK-5,0,,,,,,,,,,,,,,,"14224 BEL RED RD
BELLEVUE
(47.625553, -122.150702)"
OUR LADY OF THE LAKE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,29,48.3,0,51.7,0,0,0,0,0,48.3,48.3,96.6,96.6,96.6,96.6,"3520 NE 89TH ST
SEATTLE
(47.6932897, -122.2894508)"
HOLY TRINITY LUTHERAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,P-8,15,80,13.3,0,6.7,0,6.7,0,0,80,80,93.3,100,100,93.3,"2021 S 260TH ST
DES MOINES
(47.3684707, -122.3075916)"
KAMIAKIN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,187,85,0.5,8,6.4,0.5,5.9,0,0,87.2,88.8,96.8,95.2,95.2,95.7,"14111 132ND AVE NE
KIRKLAND
(47.7274606, -122.1658681)"
KIRKLAND SDA SCHOOL,PRIVATE SCHOOL,2016-17,N,LAKE WASHINGTON SCHOOL DISTRICT,K-8,0,,,,,,,,,,,,,,,"5320 108TH AVE NE
KIRKLAND
(47.656586, -122.195246)"
PATHFINDER K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K -8,56,64.3,0,16.1,19.6,3.6,19.6,0,0,67.9,67.9,83.9,85.7,83.9,80.4,"1901 SW GENESEE ST
SEATTLE
(47.5626837, -122.3579696)"
MERCER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,423,75.4,0.2,19.9,4.5,3.3,1.4,0.2,0,81.1,81.1,96.7,96.5,95.5,92.4,"1600 S COLUMBIAN WY
SEATTLE
(47.5640958, -122.3120601)"
BRIGHTMONT ACADEMY--SAMMAMISH CAMPUS,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-12,0,,,,,,,,,,,,,,,"711 228TH AVE NE
SAMMAMISH
(47.6156011, -122.0355812)"
COTTAGE LAKE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,PK-6,61,88.5,0,6.6,4.9,0,4.9,0,0,88.5,88.5,96.7,96.7,96.7,96.7,"15940 AVONDALE RD NE
WOODINVILLE
(47.7446942, -122.0791994)"
GREGORY HEIGHTS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,86,82.6,1.2,14,2.3,0,2.3,0,0,82.6,82.6,98.8,98.8,98.8,98.8,"16201 16TH AVE SW
BURIEN
(47.4579445, -122.3559476)"
THE LITTLE SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-6,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"2812 116TH AVE NE
BELLEVUE
(47.6363203, -122.1855949)"
MCMICKEN HEIGHTS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,53,32.1,0,67.9,0,0,0,0,0,92.5,92.5,96.2,96.2,90.6,50.9,"3708 S 168TH ST
SEATAC
(47.452934, -122.284698)"
SEATTLE WALDORF - THREE CEDARS,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,K-8,11,27.3,18.2,0,54.5,0,54.5,0,0,54.5,54.5,45.5,54.5,54.5,45.5,"556 124TH AVE NE
BELLEVUE
(47.615087, -122.173926)"
TILLICUM MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-8,230,40,0,53,7,2.2,4.8,0,0,43.5,43.5,95.7,96.1,94.8,93.9,"16020 SE 16TH STREET
BELLEVUE
(47.5985543, -122.1250789)"
DOLAN ACADEMY & LEARNING CENTER,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K-8,0,,,,,,,,,,,,,,,"18500 156TH AVE NE
WOODINVILLE
(47.763018, -122.1313335)"
EXPLORER WEST MIDDLE SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,6-8,38,86.8,0,5.3,7.9,0,7.9,0,0,86.8,86.8,89.5,86.8,89.5,89.5,"10015 28TH AVE SW
SEATTLE
(47.5132043, -122.3692233)"
ST. JOSEPH SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-8,78,97.4,0,0,2.6,1.3,1.3,0,0,97.4,97.4,98.7,98.7,98.7,98.7,"700 18TH AVE E
SEATTLE
(47.6258183, -122.3084169)"
CASCADE K-8 COMMUNITY SCHOOL (ROOM NINE),PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -8,26,65.4,0,3.8,30.8,3.8,26.9,0,0,88.5,96.2,80.8,76.9,84.6,100,"17077 MERIDIAN AVE N
SHORELINE
(47.7548485, -122.3368952)"
SACRED HEART SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,52,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"9450 NE 14TH ST
CLYDE HILL
(47.6237889, -122.2133774)"
MOORLANDS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,106,90.6,0,0.9,8.5,0.9,7.5,0,0,95.3,95.3,95.3,96.2,93.4,94.3,"15115 84 AV NE
KENMORE
(47.7386617, -122.2310014)"
OLYMPIC MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,6-8,269,87.7,1.5,8.2,2.6,1.1,1.1,0.4,0,90,90.7,99.6,98.5,99.6,100,"1825 K ST SE
AUBURN
(47.291924, -122.21737)"
RIDGECREST ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,104,89.4,1.9,1.9,6.7,0,6.7,0,0,96.2,97.1,99,95.2,96.2,100,"16516 10TH AVENUE N.E.
SHORELINE
(47.74942, -122.31699)"
ST. BERNADETTE SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,P-8,22,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1028 SW 128TH ST
SEATTLE
(47.4888616, -122.3484808)"
HOLY FAMILY SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,P-8,0,,,,,,,,,,,,,,,"9615 20TH AVE SW
SEATTLE
(47.516952, -122.3594767)"
SKYKOMISH ELEMENTARY AND MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SKYKOMISH SCHOOL DISTRICT,PK-8,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"105 6TH ST N
SKYKOMISH
(47.7093401, -121.3619079)"
JANE ADDAMS MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,307,78.5,0.3,15,6.2,2.9,4.9,0.7,0,83.1,83.1,95.4,96.1,93.5,91.9,"11051 24TH AVE. NE
SEATTLE
(47.710086, -122.303075)"
FINN HILL JUNIOR HIGH SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,240,84.6,0.8,7.1,7.5,2.1,5.4,0.4,0,88.3,89.6,94.2,94.6,94.2,93.8,"8040 NE 132ND ST
KIRKLAND
(47.7195589, -122.2306048)"
MARVISTA ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,82,84.1,0,14.6,1.2,1.2,0,0,0,85.4,96.3,98.8,98.8,98.8,98.8,"19800 MARINE VIEW DR SW
NORMANDY PARK
(47.4250673, -122.3426898)"
THE BUSH SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-12,59,98.3,0,0,1.7,0,1.7,0,0,98.3,98.3,100,100,100,100,"3400 E HARRISON
SEATTLE
(47.6227457, -122.2887334)"
EASTSIDE CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,23,21.7,78.3,0,0,0,0,0,0,26.1,26.1,95.7,95.7,100,95.7,"14615 SE 22ND ST
BELLEVUE
(47.590212, -122.1451498)"
SEAHURST ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K -6,82,85.4,0,12.2,2.4,0,2.4,0,0,87.8,98.8,98.8,97.6,100,98.8,"14603 14TH AVE SW
BURIEN
(47.4716001, -122.3542063)"
TOTEM MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,227,78,2.2,17.6,2.2,0,1.8,0.4,0,96.5,85.5,96.9,96.5,96,96,"26630 40TH AVE S
KENT
(47.3622183, -122.2816115)"
GLENRIDGE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,47,78.7,0,19.1,2.1,2.1,0,0,0,78.7,78.7,100,100,97.9,100,"19405 120TH AVE SE
RENTON
(47.427926, -122.1826057)"
KOKANEE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,109,90.8,0,5.5,3.7,0.9,2.8,0,0,92.7,92.7,96.3,97.2,97.2,96.3,"23710 57 AV SE
WOODINVILLE
(47.782003, -122.159494)"
INTERAGENCY PROGRAMS,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,0,,,,,,,,,,,,,,,"PO BOX 34165
SEATTLE
(47.6062095, -122.3320708)"
SOUND VIEW EDUCATION DBA STERLING WEST SEATTLE CAMPUS,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,3-12,0,,,,,,,,,,,,,,,"9205 3RD AVE SW
SEATTLE
(47.520646, -122.339239)"
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,PRIVATE SCHOOL,2016-17,Y,TUKWILA SCHOOL DISTRICT,P-12,2,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"14601 INTERURBAN AVE S
TUKWILA
(47.472444, -122.255825)"
ST. MARK SCHOOL,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,P-8,16,93.8,0,0,6.3,0,6.3,0,0,93.8,93.8,93.8,93.8,93.8,93.8,"18033 15TH PL NE
SHORELINE
(47.7607489, -122.314192)"
EVERGREEN CHRISTIAN PRIVATE SCHOOL,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,K-7,10,30,50,0,20,0,20,0,0,30,30,80,80,80,80,"3405 S 336TH ST
FEDERAL WAY
(47.30008, -122.289196)"
REDMOND MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-8,323,76.5,0.3,16.7,6.5,1.9,5,0.3,0,80.5,81.1,95.4,96,95.7,92.6,"10055 166TH AVE NE
REDMOND
(47.6914493, -122.1195038)"
WOODIN ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,PK-6,85,35.3,1.2,61.2,2.4,0,2.4,0,0,36.5,36.5,97.6,96.5,97.6,96.5,"12950 NE 195 ST
BOTHELL
(47.7681382, -122.1676646)"
TORAH DAY SCHOOL OF SEATTLE,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,4,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"3528 S FERDINAND ST
SEATTLE
(47.558256, -122.28748)"
SHELTON VIEW ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,88,79.5,0,15.9,4.5,1.1,4.5,0,0,85.2,85.2,100,98.9,95.5,94.3,"23400 5 AV W
BOTHELL
(47.78557, -122.239596)"
ASSUMPTION ST. BRIDGET,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-8,61,85.2,0,14.8,0,0,0,0,0,85.2,98.4,98.4,98.4,100,98.4,"6220 32ND AVE NE
SEATTLE
(47.6748938, -122.2927736)"
