School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
SPRINGBROOK ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,74,71.6,0,27,1.4,0,1.4,0,0,74.3,75.7,98.6,98.6,95.9,97.3,"20035 100TH AVE SE
KENT
(47.4213692, -122.2084834)"
EASTSIDE CATHOLIC SCHOOL,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,6-12,58,98.3,0,0,1.7,0,1.7,0,0,98.3,98.3,98.3,98.3,98.3,98.3,"232 228TH AVE SE
SAMMAMISH
(47.6063567, -122.0348618)"
INTERNATIONAL SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-12,89,85.4,1.1,3.4,10.1,5.6,6.7,0,0,88.8,88.8,95.5,96.6,95.5,93.3,"445 128TH AVE SE
BELLEVUE
(47.604526, -122.172162)"
ST. THERESE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,12,83.3,0,8.3,8.3,8.3,0,0,0,91.7,91.7,91.7,91.7,83.3,91.7,"900 35TH AVE
SEATTLE
(47.611134, -122.2880296)"
FOREST RIDGE SCHOOL OF SACRED HEART,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,5-12,35,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"4800 139TH AVE SE
BELLEVUE
(47.558786, -122.155251)"
PUGET SOUND COMMUNITY SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"660 S DEARBORN ST
SEATTLE
(47.596252, -122.324224)"
SCENIC HILL ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,66,71.2,0,27.3,1.5,0,1.5,0,0,71.2,72.7,98.5,98.5,98.5,97,"26025 WOODLAND WAY S
KENT
(47.3682236, -122.21066)"
HILLSIDE STUDENT COMMUNITY SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,5-12,7,85.7,0,0,14.3,0,14.3,0,0,85.7,100,85.7,85.7,85.7,85.7,"5027 159TH PL SE
BELLEVUE
(47.556977, -122.1264437)"
WESTHILL ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,68,83.8,0,4.4,11.8,4.4,7.4,0,0,86.8,86.8,89.7,91.2,91.2,89.7,"19515 88 AV NE
BOTHELL
(47.7701036, -122.2247701)"
ST. JOSEPH CATHOLIC SCHOOL OF ISSAQUAH,PRIVATE SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,P-8,21,14.3,0,85.7,0,0,0,0,0,14.3,100,100,100,100,100,"200 MOUNTAIN PARK BLVD
ISSAQUAH
(47.5289564, -122.0434416)"
CASCADE INDEPENDENT HIGH SCHOOL,PRIVATE SCHOOL,2016-17,N,ENUMCLAW SCHOOL DISTRICT,5-12,0,,,,,,,,,,,,,,,"1849 MARSHALL AVE
ENUMCLAW
(47.208277, -121.994657)"
CHESTNUT HILL ACADEMY SOUTH CAMPUS,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,K-8,0,,,,,,,,,,,,,,,"13633 SE 26TH ST
BELLEVUE
(47.5869388, -122.1571933)"
MIDWAY ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,107,92.5,1.9,4.7,0.9,0.9,0,0,0,96.3,99.1,99.1,98.1,99.1,99.1,"22447 24TH AVE S
DES MOINES
(47.4012636, -122.3025088)"
VALLEY CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,P-8,4,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1312 2ND ST SE
AUBURN
(47.3060699, -122.2112773)"
ENUMCLAW MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ENUMCLAW SCHOOL DISTRICT,6-8,168,87.5,0,8.9,3.6,0.6,3,0,0,91.1,92.3,97,98.2,97,97,"550 SEMANSKI STREET
ENUMCLAW
(47.1870583, -122.0081293)"
PARADE,PUBLIC SCHOOL,2016-17,Y,RIVERVIEW SCHOOL DISTRICT,PK-12,12,41.7,0,25,33.3,0,33.3,0,0,41.7,41.7,83.3,83.3,91.7,75,"32240 NE 50TH ST
CARNATION
(47.6515142, -121.9072521)"
SUNRISE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,70,85.7,0,5.7,8.6,2.9,4.3,2.9,0,91.4,91.4,94.3,95.7,94.3,94.3,"22300 132ND AVE SE
KENT
(47.4032467, -122.1641731)"
BRIGHTMONT ACADEMY--SEATTLE CAMPUS,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,0,,,,,,,,,,,,,,,"9750 THIRD AVE NE STE 102
SEATTLE
(47.700575, -122.325021)"
LAKESIDE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,5-12,68,94.1,1.5,1.5,2.9,1.5,1.5,0,0,95.6,97.1,98.5,97.1,97.1,97.1,"14050 1ST AVE NE
SEATTLE
(47.7334809, -122.3272809)"
MORNINGSIDE ACADEMY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,1-10,18,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"201 WESTLAKE AVE N
SEATTLE
(47.6199629, -122.3388781)"
CEDAR PARK CHRISTIAN SCHOOLS,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-12,86,81.4,0,0,18.6,0,17.4,1.2,0,89.5,89.5,87.2,89.5,94.2,90.7,"16300 112TH AVE NE
BOTHELL
(47.7462368, -122.1892168)"
GREEN RIVER MONTESSORI SCHOOL,PRIVATE SCHOOL,2016-17,N,AUBURN SCHOOL DISTRICT,P-12,0,,,,,,,,,,,,,,,"922 12TH ST NE
AUBURN
(47.3183536, -122.2174141)"
SEATTLE WALDORF SCHOOL - MEADOWBROOK,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-12,25,28,12,0,60,0,60,0,0,64,64,64,68,44,40,"2728 NE 100TH ST
SEATTLE
(47.7016219, -122.2973358)"
ST. BENEDICT SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,22,86.4,0,9.1,4.5,0,4.5,0,0,86.4,95.5,95.5,95.5,95.5,95.5,"4811 WALLINGFORD AVE N
SEATTLE
(47.6639126, -122.336762)"
PINE LAKE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,6-8,310,97.1,0,1.3,1.6,0.3,1,0.3,0,98.7,98.7,99.4,99,98.4,99,"3200 228TH AVE SE
SAMMAMISH
(47.579487, -122.032963)"
ECKSTEIN MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,357,92.4,0.3,1.7,5.6,2.2,3.4,0,0,98.6,98.6,97.8,97.8,96.1,95.5,"3003 NE 75 ST
SEATTLE
(47.6816389, -122.294437)"
HAZEL VALLEY ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,76,84.2,0,15.8,0,0,0,0,0,84.2,84.2,100,100,100,100,"402 SW 132ND ST
BURIEN
(47.4855993, -122.3408153)"
THE MADRONE SCHOOL,PRIVATE SCHOOL,2016-17,N,NORTHSHORE SCHOOL DISTRICT,3-6,0,,,,,,,,,,,,,,,"15703 223RD AVE NE
WOODINVILLE
(47.741406, -122.040333)"
SEATTLE COUNTRY DAY SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-8,40,90,0,7.5,2.5,0,2.5,0,0,92.5,92.5,92.5,92.5,90,92.5,"2619 4TH AVE N
SEATTLE
(47.6436165, -122.3502907)"
MELVIN G SYRE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,79,93.7,0,0,6.3,0,6.3,0,0,100,100,97.5,100,96.2,100,"19545 12TH AVENUE N.W.
SHORELINE
(47.771956, -122.372734)"
BELLEVUE BIG PICTURE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-12,74,83.8,1.4,5.4,9.5,2.7,6.8,0,0,87.8,87.8,94.6,94.6,93.2,91.9,"14844 SE 22ND STREET
BELLEVUE
(47.591894, -122.141311)"
PACIFIC CREST SCHOOLS,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,5,60,0,0,40,0,40,0,0,60,80,60,80,60,80,"600 NW BRIGHT ST
SEATTLE
(47.6602841, -122.3643107)"
DARTMOOR SCHOOL--WOODINVILLE,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,1-12,0,,,,,,,,,,,,,,,"17305 139TH AVE NE
WOODINVILLE
(47.7527536, -122.1540459)"
NEELY O BRIEN ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,102,58.8,1,39.2,1,1,0,0,0,60.8,62.7,96.1,94.1,95.1,93.1,"6300 S 236TH ST
KENT
(47.391592, -122.256308)"
LOCKWOOD ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,77,64.9,0,27.3,7.8,1.3,6.5,1.3,0,64.9,64.9,93.5,93.5,94.8,93.5,"24118 LOCKWOOD RD
BOTHELL
(47.7781648, -122.2558088)"
HOLY ROSARY ELEMENTARY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-8,48,66.7,0,33.3,0,0,0,0,0,66.7,66.7,97.9,97.9,97.9,100,"4142 42ND AVE SW
SEATTLE
(47.5654444, -122.3850189)"
ST. EDWARDS SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,18,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"4200 S MEAD ST
SEATTLE
(47.550814, -122.2804746)"
K-8 STEM AT BOREN,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-8,58,29.3,0,62.1,8.6,1.7,6.9,0,0,32.8,32.8,89.7,87.9,84.5,87.9,"5950 DELRIDGE WAY SW
SEATTLE
(47.548678, -122.362196)"
SEATTLE GIRLS SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,5-8,0,,,,,,,,,,,,,,,"2706 S JACKSON ST
SEATTLE
(47.599412, -122.296929)"
EXCEL PUBLIC CHARTER SCHOOL,PUBLIC SCHOOL,2016-17,Y,EXCEL PUBLIC CHARTER SCHOOL LEA,6-8,37,97.3,0,0,2.7,0,2.7,0,0,97.3,100,100,97.3,100,97.3,"210 SOUTH HUDSON STREET
SEATTLE
(47.557995, -122.331304)"
PARK ORCHARD ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,55,78.2,3.6,18.2,0,0,0,0,0,81.8,83.6,98.2,98.2,98.2,94.5,"11010 SE 232ND ST
KENT
(47.3952475, -122.1930121)"
RIDGEWOOD ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,72,86.1,0,9.7,4.2,2.8,1.4,0,0,90.3,90.3,100,98.6,95.8,100,"18030 162ND PL SE
RENTON
(47.440421, -122.1221423)"
HARBOR SCHOOL,PRIVATE SCHOOL,2016-17,Y,VASHON ISLAND SCHOOL DISTRICT,K-8,14,35.7,0,42.9,21.4,0,21.4,0,0,50,50,50,42.9,35.7,50,"15920 VASHON HWY SW
VASHON
(47.462493, -122.4588828)"
NORTHSHORE NETWORKS,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -12,3,33.3,0,33.3,33.3,0,33.3,0,0,33.3,33.3,66.7,66.7,66.7,66.7,"3330 MONTE VILLA PARKWAY
BOTHELL
(47.7770699, -122.1898555)"
BILLINGS MIDDLE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,30,96.7,3.3,0,0,0,0,0,0,100,100,100,100,96.7,96.7,"7217 WOODLAWN AVE NE
SEATTLE
(47.680883, -122.325246)"
KILO MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-8,183,82,0,14.8,3.3,0,2.7,0.5,0,83.1,83.1,97.8,95.6,96.7,97.3,"4400 S 308TH ST
AUBURN
(47.3268566, -122.2781235)"
CHINOOK MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-8,302,73.2,0,19.5,7.3,2.6,4.6,0.3,0,77.8,77.8,94.7,95.7,94.4,92.4,"2001 98TH AVENUE NE
BELLEVUE
(47.628375, -122.211094)"
LAKE FOREST PARK ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,60,90,0,0,10,1.7,8.3,0,0,93.3,95,93.3,93.3,96.7,100,"18500 37TH AVENUE N.E.
LAKE FOREST PARK
(47.7625606, -122.2891862)"
EVERGREEN ACADEMY,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K-6,0,,,,,,,,,,,,,,,"16017 118TH PL NE
BOTHELL
(47.7443043, -122.1825172)"
KENT MOUNTAIN VIEW ACADEMY,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -12,48,50,0,43.8,6.3,2.1,4.2,0,0,50,50,93.8,91.7,93.8,91.7,"22420 MILITARY RD S
DES MOINES
(47.4001007, -122.2901162)"
SHOWALTER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,TUKWILA SCHOOL DISTRICT,6-8,193,95.3,0,2.1,2.6,1,1.6,0,0,96.4,96.4,98.4,99,99,98.4,"4628 S 144TH ST
TUKWILA
(47.4748324, -122.2749528)"
HOLY FAMILY PARISH SCHOOL,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,P-8,25,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"7300 - 120TH AVE NE
KIRKLAND
(47.6700184, -122.1801608)"
SOUTH SHORE K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-7,81,75.3,0,19.8,4.9,3.7,1.2,0,0,79,79,98.8,96.3,93.8,95.1,"4800 S HENDERSON ST
SEATTLE
(47.5240525, -122.2718274)"
AKI KUROSE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,225,68,0,28,4,4,1.8,0,0,73.8,73.8,95.1,94.7,93.3,89.8,"3928 S GRAHAM ST
SEATTLE
(47.5462536, -122.2824712)"
ST. MATTHEW SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,19,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"1230 NE 127TH ST
SEATTLE
(47.7212466, -122.3144126)"
RAINIER PREP,PUBLIC SCHOOL,2016-17,Y,RAINIER PREP CHARTER SCHOOL DISTRICT,5-8,86,64,0,34.9,1.2,0,1.2,0,0,68.6,97.7,97.7,97.7,94.2,95.3,"10211 12TH AVE S
SEATTLE
(47.511839, -122.350255)"
YELLOW WOOD ACADEMY,PRIVATE SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,K-12,2,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"9655 SE 36TH ST, SUITE 101
MERCER ISLAND
(47.576752, -122.209378)"
VILLA ACADEMY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,40,92.5,0,2.5,5,0,5,0,0,95,95,97.5,97.5,95,97.5,"5001 NE 50TH ST
SEATTLE
(47.6640258, -122.2732757)"
MOUNT VIEW ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,PK-6,50,46,0,54,0,0,0,0,0,98,98,100,98,100,50,"11427 3RD AV S
SEATTLE
(47.500244, -122.330524)"
CATHARINE BLAINE K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K -8,65,75.4,0,21.5,3.1,1.5,3.1,0,0,78.5,78.5,96.9,93.8,95.4,90.8,"2550 34 AV W
SEATTLE
(47.6428057, -122.3996966)"
CEDAR RIVER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,TAHOMA SCHOOL DISTRICT,6-7,335,94.9,0,0.9,4.2,0.3,3.9,0.3,0,97,97.3,98.5,98.2,97.6,96.4,"22615 SWEENEY ROAD SE
MAPLE VALLEY
(47.400464, -122.052986)"
MAYWOOD HILLS ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,88,97.7,0,2.3,0,0,0,0,0,98.9,98.9,98.9,100,100,98.9,"19510 104 AV NE
BOTHELL
(47.7695974, -122.1982439)"
ST. MADELEINE SOPHIE SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,18,94.4,0,0,5.6,0,5.6,0,0,100,100,100,100,94.4,100,"4400 130TH PL SE
BELLEVUE
(47.566617, -122.165532)"
CONCORDIA LUTHERAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,3,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"7040 36TH AVE NE
SEATTLE
(47.6809232, -122.288961)"
MILLENNIUM ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,81,80.2,0,16,3.7,0,3.7,0,0,80.2,80.2,97.5,97.5,98.8,96.3,"11919 SE 270TH ST
KENT
(47.3589852, -122.1808239)"
THE BEAR CREEK SCHOOL,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,K-12,57,89.5,0,0,10.5,0,10.5,0,0,91.2,91.2,91.2,91.2,91.2,91.2,"8905 208TH AVE NE
REDMOND
(47.6812619, -122.065522)"
ECHO LAKE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,71,83.1,1.4,0,15.5,0,15.5,0,0,91.5,93,93,88.7,90.1,100,"19345 WALLINGFORD AVE. N.
SHORELINE
(47.769642, -122.339329)"
OPEN WINDOW SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,K-8,38,92.1,0,0,7.9,0,7.9,0,0,94.7,94.7,92.1,94.7,94.7,94.7,"6128 168TH PLACE SE
BELLEVUE
(47.5477474, -122.1141144)"
UNIVERSITY PREPARATORY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,77,97.4,0,0,2.6,1.3,1.3,0,0,98.7,98.7,97.4,98.7,98.7,98.7,"8000 25TH AVE NE
SEATTLE
(47.6870752, -122.299749)"
BRIARCREST ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,K -6,71,88.7,1.4,0,9.9,0,9.9,0,0,95.8,98.6,98.6,97.2,95.8,100,"2715 N.E. 158TH STREET
SHORELINE
(47.7419147, -122.2977449)"
MAYWOOD MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,ISSAQUAH SCHOOL DISTRICT,6-8,366,93.2,1.1,0.3,5.5,1.4,4.1,0,0,95.9,97.3,98.1,97.3,96.7,97,"14490 168TH AVE SE
RENTON
(47.4707843, -122.1150385)"
NORTHWEST MONTESSORI,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-6,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"7400 25TH AVE NE
SEATTLE
(47.6822474, -122.3003922)"
PANTHER LAKE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,86,96.5,0,1.2,2.3,0,2.3,0,0,96.5,96.5,97.7,98.8,98.8,97.7,"10200 SE 216TH ST
KENT
(47.4098222, -122.2048223)"
BROADVIEW-THOMSON K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-8,72,73.6,0,22.2,4.2,1.4,2.8,0,0,75,75,94.4,94.4,94.4,93.1,"13052 GREENWOOD AV N
SEATTLE
(47.7247913, -122.3549098)"
CHRYSALIS SCHOOL (K-8),PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K-8,12,83.3,16.7,0,0,0,0,0,0,91.7,91.7,83.3,91.7,91.7,91.7,"17005 140TH AVE NE
WOODINVILLE
(47.751054, -122.153408)"
THREE POINTS ELEMENTARY,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-6,59,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"7800 NE 28TH ST
MEDINA
(47.6357574, -122.2350868)"
TOPS K-8 SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,PK-8,57,71.9,0,14,14,7,8.8,0,0,78.9,78.9,94.7,96.5,89.5,91.2,"2500 FRANKLIN AV E
SEATTLE
(47.6425198, -122.324146)"
EAST RIDGE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,56,82.1,0,17.9,0,0,0,0,0,82.1,82.1,100,100,100,98.2,"22150 NE 156 PL
WOODINVILLE
(47.7408581, -122.0429405)"
